,created_at,tweet,sentiment,label
17,11/16/2022 10:06,aman presidensi g bal tni terjun personel ribu materiel dar ksad jenderal dudung abdurachman angkat darat hati rakyat tulus utama rakyat,11,positif
18,11/16/2022 10:06,masyarakat dukung penuh ktt g indonesia,4,positif
19,11/16/2022 10:06,ksad dudung abdurachman laksana kece langsung lokasi jadi pos sehat laksana temu ktt g dar ksad jenderal dudung abdurachman angkat darat hati rakyat tulus utama rakyat,25,positif
20,11/16/2022 10:06,g rusia bal nato sarap ronaldo wendy sepatu pantovel tali hells cm potong rp dapat shopee,6,positif
21,11/16/2022 10:06,penjor janur kuning lengkung hias jalan utama bal lewat delegasi ktt g tampil,-2,negatif
22,11/16/2022 10:06,cinderamata khas indonesia delegasi ktt g cinderamata kenangkenangan delegasi hadir pagelaran g,-2,negatif
23,11/16/2022 10:06,delegasi g aman nyaman siap,1,positif
24,11/16/2022 10:06,pakar ekonomi dukung ktt g,3,positif
25,11/16/2022 10:06,komisioner kompolnas irjen pol purn drs pudji hartanto iskandar mm apresiasi sigap polri aman konferensi tingkat g indonesia bal dorong ekonomi dunia,5,positif
26,11/16/2022 10:06,iya agenda ktt g bahas sepakat deal sektor ekonomi ruang prdagangn srta lapangn krja negara tsb deal dihasilkn hrpnnya mmberikn ruang bgi indonesia pngembangn ekonomi lbh luas dn dmpk dlm regulasi hadirkn lapangn krja bgi rakyat,3,positif
27,11/16/2022 10:06,g,0,netral
28,11/16/2022 10:06,selamat sukses g indonesia penuh riang gembira,16,positif
29,11/16/2022 10:06,ktt g jamin aman masyarakat merespon,-2,negatif
30,11/16/2022 10:06,sukses g indonesia,3,positif
31,11/16/2022 10:06,rea oh iya bang jadi indonesia bela sungkawa pidato jokowi g perang henti,-9,negatif
32,11/16/2022 10:06,aksi seniman cultural performance ktt g,2,positif
33,11/16/2022 10:06,g rusia bal nato sarap ronaldo wendy lks pai kelas semester potong rp dapat shopee,0,netral
34,11/16/2022 10:06,polri himbauan masyarakat dukung lancar giat ktt g bal dorong ekonomi dunia,9,positif
35,11/16/2022 10:06,damri layan tumpang ktt g bal,2,positif
36,11/16/2022 10:06,jaipur bergo halwa rp rp bal polandia g kakak perempuan pucuk nato grammy feast matcha,0,netral
37,11/16/2022 10:06,cemburu buta enola band enola band bth produser label musik hb akun dm krj sm lagu lengkap polandia ultramik g feast best of the best sarap pagiii bal bandung kadrun,1,positif
38,11/16/2022 10:06,siap creative hub puncak waringin sambut g dorong ekonomi dunia pilih creative hub puncak waringin labu bajo ntt lokasi side event g alas,-3,negatif
39,11/16/2022 10:06,ribu cinta enola band enola band bth produser label musik hb akun dm krj sm lagu lengkap polandia ultramik g feast best of the best sarap pagiii bal bandung kadrun,12,positif
40,11/16/2022 10:06,negara anggota g forum g,-1,negatif
41,11/16/2022 10:06,masyarakat bangga selenggara ktt g,6,positif
42,11/16/2022 10:06,kakanwil kemenkumham jateng yuspahruddin dukung g imigrasi malang layan second home visa,1,positif
43,11/16/2022 10:06,rekomendasi baju kondangan wanita bandung bal dream cat matcha romlah rabu feast g kakak perempuan pucuk shotaro,2,positif
44,11/16/2022 10:06,presidensi g indonesia jembatan negara konflik masyarakat bangga ktt g,-1,negatif
45,11/16/2022 10:06,output presidensi g indonesua ekonomi dunia jembatan beda situasi geopolitik tingkat dorong ekonomi dunia,-3,negatif
46,11/16/2022 10:06,g pengaruh indonesia dunia,4,positif
47,11/16/2022 10:06,anti khilafah politik identitas warga bondowoso sepakat tolak anies baswedan polandia g rusia ktt g bal bandung grammy bahagia birthday garam kakak perempuan pucuk kadrun cat cat cat cat sarap gibran,8,positif
48,11/16/2022 10:06,aman presidensi g bal tni terjun personel ribu materiel dar ksad jenderal dudung abdurachman angkat darat hati rakyat tulus utama rakyat,11,positif
49,11/16/2022 10:06,pen g iya allah,5,positif
50,11/16/2022 10:06,ktt g indonesia hasil capai sepakat investasi,11,positif
51,11/16/2022 10:06,pas gitu rudal pas g sengaja beneran rusia nyata cinta senjata rusia asai ukraina,14,positif
52,11/16/2022 10:06,output presidensi g indonesua ekonomi dunia forum kerja ekonomi international utama dorong ekonomi dunia,6,positif
53,11/16/2022 10:06,open promo izin belas kapal perang senjata lengkap aman ktt g promoter ancha mentor cc aya,-3,negatif
54,11/16/2022 10:06,beda kelas senyap tanoa berita tandatangan kerjasama,-3,negatif
55,11/16/2022 10:06,ktt g momentum ri jembatan damai dunia,0,netral
56,11/16/2022 10:06,g manfaat substansi fisik,6,positif
57,11/16/2022 10:06,ksad dudung ar damping presiden joko widodo laksana tactical floor game tfg aman presidensi g dar ksad jenderal dudung abdurachman angkat darat hati rakyat tulus utama rakyat,13,positif
58,11/16/2022 10:06,polri gelar patroli skala kuat aman ktt g dorong ekonomi dunia,7,positif
59,11/16/2022 10:06,peran preaidensi g indonesia tingkat maju ekonomi indonesia dunia dorong ekonomi dunia,3,positif
60,11/16/2022 10:06,pesona ktt g,4,positif
61,11/16/2022 10:06,mantap kasad dudung ar cek kesiap pos sehat ktt g motivasi tugas medis dar ksad jenderal dudung abdurachman angkat darat hati rakyat tulus utama rakyat,18,positif
62,11/16/2022 10:06,mobil listrik bekas g kelar event tidak kepakek lebih baik bayarin rb,0,netral
63,11/16/2022 10:06,putin marah biden g,-5,negatif
64,11/16/2022 10:06,g ajang bangkit ekonomi dunia,0,netral
65,11/16/2022 10:06,ri dana transisi energi g rp triliun giat lingkung sorot pensiun pltu batu bara,8,positif
66,11/16/2022 10:06,lapor kemarin sore roket buat rusia jatuh ledak wilayah polandia poland anggota nato rabu pagi rapat dada negara anggota nato bal jadi ganggu jalan acara ktt g tidak,-16,negatif
67,11/16/2022 10:05,dya sejarah g indonesia,0,netral
68,11/16/2022 10:05,aman presidensi g bal tni terjun personel ribu materiel dar ksad jenderal dudung abdurachman angkat darat hati rakyat tulus utama rakyat,11,positif
69,11/16/2022 10:05,ktt g langkah strategis indonesia poros maritim dunia,5,positif
70,11/16/2022 10:05,bangga loh acara g indonesia merindinggg nonton,3,positif
71,11/16/2022 10:05,polri bravo polri aman laksana ktt g,0,netral
72,11/16/2022 10:05,g rusia bal nato sarap ronaldo wendy kaos warna bayi lahir potong rp dapat shopee,-1,negatif
73,11/16/2022 10:05,mana tante muncul satu bangsa klik link hilang g ultramilk jisung hyung aaaaaaaaa tap,7,positif
74,11/16/2022 10:05,moga giat g baik ekonomi didik angkat hidup rakyat melaui bea siswa negara anggota makmur,16,positif
75,11/16/2022 10:05,g rusia bal nato sarap ronaldo wendy pita hias pohon natal potong rp dapat shopee,-1,negatif
76,11/16/2022 10:05,jokowi menteri anies sukses g aki ribut banget iya,8,positif
77,11/16/2022 10:05,dukung kuat ekonomi sukses g,9,positif
78,11/16/2022 10:05,siap crative hub puncak waringin sambut ktt g dorong ekonomi dunia,2,positif
79,11/16/2022 10:05,kadrun gak bedain g anus daftar side event,1,positif
80,11/16/2022 10:05,ktt g undang negara pulau masyarakat dukung g,6,positif
81,11/16/2022 10:05,menteri negeri rusia hadir gala dinner ktt g selasa malam,1,positif
82,11/16/2022 10:05,kepala negara g gabung nato gelar rapat darurat tengahtengah helat ktt g,-1,negatif
83,11/16/2022 10:05,lha kemarin nyolong start ggan mana orang gog pas opening tanggal anak ga bal solo lihat mesjid,-3,negatif
84,11/16/2022 10:05,asmara apa sajadah keris topi haji tertawa tertawa tertawa tertawa adaaaa cerita tidak habis cuman gitu tidak istimewa cuman kadrun anggap g bilang,4,positif
85,11/16/2022 10:05,ksad dudung ar damping presiden joko widodo laksana tactical floor game tfg aman presidensi g dar ksad jenderal dudung abdurachman angkat darat hati rakyat tulus utama rakyat,13,positif
86,11/16/2022 10:05,presiden as joe biden pimpin g unjung tahura ngurah rai bal biden ikut agenda rapat darurat kait rudal rusia jatuh polandia,1,positif
87,11/16/2022 10:05,presidensi g ajar sama arek kene dukung,8,positif
88,11/16/2022 10:05,panggung g ambil alih jinpingbiden trus jokowi tuan rumah hemat bicara,2,positif
89,11/16/2022 10:05,presidensi g milik output perekomian dunia dorong ekonomi dunia,3,positif
90,11/16/2022 10:05,mata dunia g hasil gais ayo dukung event,10,positif
91,11/14/2022 19:35,gak bohong hoak kadrun nama zaman gin ngibuldrundrun mahasiswa terjemah bahasadi g bal,-5,negatif
92,11/14/2022 19:35,terima kasih iya kak vera upaya baik langgan telkomsel lancar telekomunikasi acara ktt g keluh putar produk layan telkomsel dmin informasi detail mimin iya sehat zabo,27,positif
93,11/14/2022 19:34,kesiap pasu kuda dukung kttg polisi negara republik indonesia daya upaya tingkat aman puncak laksana ktt g bal,3,positif
94,11/14/2022 19:34,g main pleciden plecidenan he he he hibur,2,positif
95,11/14/2022 19:34,id g emg susah tolol dibiarin idup buka web resmi trus klik tab speakers bodoh menu speakersnya ketul anies bicara resmi form pendftrn slain nama list si bodoh emg manfaatin hobi org indo males buka link,-20,negatif
96,11/14/2022 19:34,jokowi senang australia dukung ktt g bal,9,positif
97,11/14/2022 19:34,g bawa bal simak spesifikasi sejarah air force one,6,positif
98,11/14/2022 19:34,alam umkm pilih official merchandise g,0,netral
99,11/14/2022 19:34,nonton film bingung nonton lihat siar live prosesi g bal,6,positif
100,11/14/2022 19:34,g daftar bicara isi kepala iq jongkok,-2,negatif
101,11/14/2022 19:34,presiden ri joko widodo presidensi g indonesia presidensi berat sejarah ktt g situasi tidak,-5,negatif
102,11/14/2022 19:34,stpl g mantap bang rakyatdukungeventg,5,positif
103,11/14/2022 19:34,dukung kttg pasu kuda direktorat polisi satwa gabung polda jabar jateng diy bal libat rangka aman event internasional mari bersamasama sukses helat ktt g,6,positif
104,11/14/2022 19:34,tunggu presiden iriana bal hadir ktt g presiden g pa bangga indonesia level negara maju terimakasih pa jokowi moga sehat,6,positif
105,11/14/2022 19:34,selesai acara g moga tidak nagih bayar,-1,negatif
106,11/14/2022 19:34,ktt g tol bal mandara terap ganjil genap batas angkut,-1,negatif
107,11/14/2022 19:34,garuda giaa luas codeshare etihad ktt g dampak tumpang,0,netral
108,11/14/2022 19:33,temu bilateral perdana menteri australia anthony albanese the apurva kempinski bal terima kasih hadir mulia pm anthony albanese ktt g dukung australia presidensi indonesia,12,positif
109,11/14/2022 19:33,presiden apresiasi dukung perdana menteri australia anthony albanese presidensi g indonesia sampai temu bilateral the apurva kempinski senin november,8,positif
110,11/14/2022 19:33,g emg susah tolol dibiarin idup buka web resmi trus klik tab speakers bodoh menu speakersnya ketul anies bicara resmi form pendftrn slain nama list si bodoh emg manfaatin hobi org indo males buka link,-20,negatif
111,11/14/2022 19:33,presiden turki erdogan bal wita hadir acara konferensi tingkat ktt g simak infomasi lengkap video,10,positif
112,11/14/2022 19:32,g undang daftar,3,positif
113,11/14/2022 19:32,jokowi tidak ucap hut nasdem pdip sibuk g,1,positif
114,11/14/2022 19:32,jsp pola pikir presiden indonesia masuk g,1,positif
115,11/14/2022 19:32,negara wakil uni eropa hadir g putin luiz inacio lula da silva presiden brazil presiden meksiko andres manuel lopez obrador absen gaes negara hadir bayang rombong bawa,4,positif
116,11/14/2022 19:32,meeting healing ktt g bal agenda emang bicara kumpul bijak iklim mulus simak lengkap utas,16,positif
117,11/14/2022 19:32,inklusi uang salah isu prioritas bahas tua g rangkai giat g isu bahas wakil perintah pimpin usaha bumn akademisi teliti,-9,negatif
118,11/14/2022 19:32,g undang daftar begoo piaraaa,3,positif
119,11/14/2022 19:32,g emg susah tolol si lamerona dibiarin idup buka web resmi trus klik tab speakers bodoh menu speakersnya ketul anies bicara resmi form pendftrn slain nama list si bodoh emg manfaatin hobi org indo males buka link,-20,negatif
120,11/14/2022 19:32,keren banget loh pakar bijak publik harvard kennedy school prof jay rosengard apresiasi peran bri main utama daya umkm indonesia,5,positif
121,11/14/2022 19:32,moga g lancar habis dah,5,positif
122,11/14/2022 19:32,kapolri harap brimob sukses aman ktt g,6,positif
123,11/14/2022 19:32,yuk baca langsung,10,positif
124,11/14/2022 19:32,presiden jokowi apresiasi dukung perdana menteri australia anthony albanese presidensi g indonesia sampai temu bilateral the apurva kempinski nusa bal senin november,8,positif
125,11/14/2022 19:32,presidensi g indonesia puncak acara ktt g selenggara bal november acara hadir pemimpinpemimpin negara dunia,3,positif
126,11/14/2022 19:31,stpl dukung gmantab indonesia g terimakasih bang,9,positif
127,11/14/2022 19:31,iya kak jesicca produk negeri dukung acara ktt g produk telkomsel kenal mancanegara iya terima kasih zabo,17,positif
128,11/14/2022 19:31,inklusi uang salah isu prioritas bahasa sesi diskusi peran bumn luas uang inklusif trade investment industry working group tiiwg road to g,-5,negatif
129,11/14/2022 19:31,konferensi bumn g profesor harvard apresiasi peran bri tingkat inklusi uang indonesia tumbuh kembang,6,positif
130,11/14/2022 19:31,profjay rosengard adjunct lecturer harvard kenedy school mengapresisasi kontribusi pt bank rakyat indonesia tbk bumn dorong cipta inklusi uang terap esg indonesia,0,netral
131,11/14/2022 19:31,atur terbang vvip ktt g bal lancar terbang reguler delay bawah menit,5,positif
132,11/14/2022 19:31,ktt g helat uu harap baik ekonomi masyarakat jabar,6,positif
133,11/14/2022 19:31,jabat g ridersnya aneh gak iya wkwk,1,positif
134,11/14/2022 19:31,tim hubung masyarakat g indo bagus banget iya beda banget kualitas desain g,4,positif
135,11/14/2022 19:31,presiden ri joko widodo damping menteri koordinator bidang ekonomi airlangga hartarto temu bilateral presiden dewan eropa charles michel,2,positif
136,11/14/2022 19:31,beliau kontrolkondisi sehatselesai kontrol rs sang langsung lokasi ktt g gubernur bal i wayan koster,3,positif
137,11/14/2022 19:31,aksi kunci menkes g kuat arsitektur sehat global,13,positif
138,11/14/2022 19:31,presiden republik indonesia joko widodo temu bilateral kepala negara agenda ktt g the apurva kempinski bal senin,2,positif
139,11/14/2022 19:31,summit momentum indonesia kuat misi dagang india mendag zulhas laku tua cii kuat kerja,5,positif
140,11/14/2022 19:31,g lhoooo presiden yaman ga undang hadir bal,0,netral
141,11/14/2022 19:31,kapal perang republik indonesia kri milik tni al kerah aman laksana konferensi tingkat ktt g november,-2,negatif
142,11/14/2022 19:31,g bentuk pecah masalah global libat negaranegara peran kancah internasional ekonomi wujud tumbuh global kuat lanjut imbang inklusif negaranegara gabung g,4,positif
143,11/14/2022 19:30,elon musk tampil kepala melayanglayang latar gelap g nusa bal listrik rumah padam tampil,1,positif
144,11/14/2022 19:30,perdana menteri fiji bal hadir ktt g,2,positif
145,11/14/2022 19:30,hhhaa acara bloomberg agenda g citra wan abud cocok bodoh dukung bloon,-2,negatif
146,11/14/2022 19:30,rakyat dukung event g baliindonesia,4,positif
147,11/14/2022 19:30,kang live streaming gelap pakai lilin acara g bal beli twitter elon bawa wastafel kantor baru gak bbrp petinggi twitter pecat pesan petinggi g,-1,negatif
148,11/14/2022 19:30,salah isu utama g dipresidensi indonesia inklusi uang kait teknologi digital akses biaya umkm,-2,negatif
149,11/14/2022 19:30,postingan g selfie foto petinggi negara,5,positif
150,11/14/2022 19:30,g gilir kalimantan gunung lahan tani ngenes surat ijin dr jokowi pas kampanye kemarin diem bae,4,positif
151,11/14/2022 19:30,pimpin negara g organisasi internasional bandara internasional i gusti ngurah rai bal minggu hadir konferensi tingkat ktt g bal gelar november,14,positif
152,11/14/2022 19:30,giat ktt g momentum dorong paham manfaat ekonomi digital adil lapor lengkap tim liput cnn indonesia,12,positif
153,11/14/2022 19:29,ga rs sang masuk daftar rs siap,-1,negatif
154,11/14/2022 19:29,wagub jabar harap ktt g dampak ekonomi warga,0,netral
155,11/14/2022 19:29,presiden joko widodo apresiasi dukung perdana menteri australia anthony albanese presidensi g indonesia sampai temu bilateral the apurva kempinski senin november,8,positif
156,11/14/2022 19:29,g wan jam bin kumpul usaha laku bisnis lha ente undang bicara lha bicara ubah iklim bani to tertawa bahagia dengar bual,9,positif
157,11/14/2022 19:29,baca link yaa gaiss,3,positif
158,11/14/2022 19:29,rangkai agenda utama presidensi g indonesia liput konferensi tingkat ktt,-1,negatif
159,11/14/2022 19:29,topik fokus g kali temu financial track sherpa track,5,positif
160,11/14/2022 19:29,g indonesia,0,netral
161,11/14/2022 19:29,bri peran dukung g bank bri per utama daya umkm indonesia lohh,4,positif
162,11/14/2022 19:29,pilih indonesia tuan rumah g,1,positif
163,11/14/2022 19:29,presiden uni eropa bal hadir ktt g,2,positif
164,11/14/2022 19:29,perintah indonesia infrastruktur bal sambut datang anggota g delegasidelegasi hadir temu istimewa,0,netral
165,11/14/2022 19:29,presiden jokowi apresiasi dukung perdana menteri australia anthony albanese presidensi g indonesia sampai temu bilateral the apurva kempinski senin november,8,positif
166,11/14/2022 19:29,jangan lupa salam amat hangat cebong kak doa baik sukses ktt g bal,16,positif
167,11/14/2022 19:28,inklusi uang salah isu prioritas bahasa sesi diskusi peran bumn luas uang inklusif trade investment industry working group tiiwg road to g bumn international conference bal senin oktober,-5,negatif
168,11/14/2022 19:28,presidensi g keluarga menngl warga isu pekan rangkai acara utama g bal khawatir puncak acara ktt g tidak capai komunike kepala negara,-12,negatif
169,11/14/2022 19:28,anjak sebut kerja holding ultra mikro angkat potensi laku usaha ultra mikro kesan,0,netral
170,11/14/2022 19:28,trade investment industry working group tiiwg road to g soe international conference bal oktober prof jay rosengard adjunct lecturer harvard kennedy school sebut target inklusi uang usung otoritas,-5,negatif
171,11/14/2022 19:28,bicara bicara g ganjar habis kuota tidak data,4,positif
172,11/14/2022 19:28,sumber,0,netral
173,11/14/2022 19:28,presiden amerika serikat joe biden bal hadir ktt g,2,positif
174,11/14/2022 19:27,capai nada salah agenda prioritas presidensi g indonesia inklusi uang utama kait teknologi digital akses biaya umkm,5,positif
175,11/14/2022 19:27,fix daftar pimpin dunia hadir ktt g bal,4,positif
176,11/14/2022 19:27,presiden ri joko widodo selamat india pegang presidensi g rangkai acara,-1,negatif
177,11/14/2022 19:27,presiden china xi temu biden selasela ktt g bal chin,2,positif
178,11/14/2022 19:27,dit pamobvit baharkam polri pasti aman nyaman delegasi ktt g com,3,positif
179,11/14/2022 19:27,presiden jokowi temu bilateral presiden turki recep tayyib erdogan the apurva kempinski nusa bal senin november presiden apresiasi turki kontribusi g,2,positif
180,11/14/2022 19:27,presiden republik indonesia joko widodo siap konferensi tingkat ktt g kepala negara hadir ktt g bal gembira sulit,11,positif
181,11/14/2022 19:27,jokowi temu bilateral presiden komisi eropa uni eropa ursula von der leyen kait g jokowi komisi eropa g dukung fleksibilitas ktt g hasil deklarasi,13,positif
182,11/14/2022 19:27,update data polusi udara dki jakarta ini level polusi udara buruk ydara bau tidak nyaman,-37,negatif
183,11/14/2022 19:27,ktt g bal cetak sejarah joe biden temu xi jinping kali,2,positif
184,11/14/2022 19:27,prof jay bri kembang tumbuh bisnis lanjut cermin inisiatif holding ultra mikro wujud komitmen bri untukgo smaller go faster go shorter,10,positif
185,11/14/2022 19:27,ri binance peluang event g,0,netral
186,11/14/2022 19:27,mobil listrik mahal ktt g bal,2,positif
187,11/14/2022 19:27,presiden apresiasi dukung pm australia anthony albanese presidensi g indonesia sampai temu bilateral the apurva kempinski provinsi bal senin foto bpmi setpres,11,positif
188,11/14/2022 19:26,selamat pagi temanteman bal pikir negaranegara g manfaat ktt maksimal,15,positif
189,11/14/2022 19:26,toyota bzx dipake ktt g,0,netral
190,11/14/2022 19:26,shati g biarin bang org benci apa bikin iri,-6,negatif
191,11/14/2022 19:26,perintah serius aman ktt g loh sesuai protap aman tamu negara vvip aman super ketat,-2,negatif
192,11/14/2022 19:26,momentum transformasi digital usaha bumn dampak positif tumbuh bisnis dampak sosial masyarakat,9,positif
193,11/14/2022 19:26,bayang sniper aman g kayak seru,4,positif
194,11/14/2022 19:26,gp sibuk latih siap sambut delegasi g,7,positif
195,11/14/2022 19:26,ri serta g pasti belanja bal,7,positif
196,11/14/2022 19:26,moga g lancar,5,positif
197,11/14/2022 19:26,perdana menteri jepang bal hadir ktt g aishiteru,2,positif
198,11/14/2022 19:26,presidensi g indonesia komitmen dukung inklusi uang negeri otoritas jasa uang ojk industri jasa uang lembagalembaga kait upaya tingkat inklusi uang dukung prioritas perintah,19,positif
199,11/14/2022 19:26,inklusi uang salah fokus presidensi g indonesia wujud inklusi uang wajib mutlak dukung presidensi indonesia g,0,netral
200,11/14/2022 19:26,bangga orang hati busuk hasad dengki iri sukses bangsa helat g kali akibat efek panas demam kqgak henti henti kadrun otak sengklek geser,0,netral
201,11/14/2022 19:26,g oooo ketahuaanbohong muka beton,-2,negatif
202,11/14/2022 19:26,haduh uas anak ekonomi ktt g,-3,negatif
203,11/14/2022 19:26,malam brigjen endi sutendi kumpukan anak buah jaga aman g,0,netral
204,11/14/2022 19:25,digitalisasi salah aspek utama upaya persero transformasi brivolution loh baca,-3,negatif
205,11/14/2022 19:25,awal g,2,positif
206,11/14/2022 19:25,presiden jokowi apresiasi dukung australia g indonesia presiden joko widodo apresiasi dukung perdana menteri australia anthony albanese presidensi g indonesia,8,positif
207,11/14/2022 19:25,inklusi uang tidak capai tumbuh ekonomi tidak ikut tingkat sejahtera masyarakat prof jay,-10,negatif
208,11/14/2022 19:25,acara bnef bloombergnef summit bal tanggal nov link jadwal anies bicara menit forum tsb g buka besuk tanggal nov,-3,negatif
209,11/14/2022 19:25,gubernur bi perry warjiyo tolak inggris jelang ktt g bal,-1,negatif
210,11/14/2022 19:25,begairat apni jagah lekin dura mansook islye hua us nay g summit attend karni hai schedule clash hai yeh sach nay nahi batya,3,positif
211,11/14/2022 19:25,ktt g peran telekomunikasi telkomsel infrastruktur digital perata konektivitas,2,positif
212,11/14/2022 19:25,ogi kadrun junjung wan abud ngegaya ngurusin gsekelas pt serta lulus,3,positif
213,11/14/2022 19:25,g butuh solidaritas kerja kuat atas krisis global,-9,negatif
214,11/14/2022 19:25,ktt g profil sergei lavrov menlu rusia tidak kalah sangar keri vladimir putin,-5,negatif
215,11/14/2022 19:25,presiden jokowi apresiasi dukung perdana menteri australia anthony albanese presidensi g indonesia tsb sampai temu bilateral the apurva kempinski senin november,8,positif
216,11/14/2022 19:25,presiden jokowi ajak pm jepang kishida sukses ktt g bal,4,positif
217,11/14/2022 19:24,gegara g bosbos hotel nusa bal bahagia,2,positif
218,11/14/2022 19:24,putin putin gak helat g bal takut iya uncle biden senggol entar senggol nangisss,1,positif
219,11/14/2022 19:24,stpl dukung acara g moga sukses bawa dampak terima kasih,10,positif
220,11/14/2022 19:24,g nyata atas bilang sela g foto ketemu dubes iya santai aja tidak kapasitas jabat apa silaturahmi salah,-11,negatif
221,11/14/2022 19:24,iriana joko widodo peleset duduk tangga pesawat presiden netizen ga tega lengkap,0,netral
222,11/14/2022 19:24,soya istirahat habis sibuk siapin g,5,positif
223,11/14/2022 19:24,jokowi temu bilateral joe biden fumio kishida ktt g bal senin,2,positif
224,11/14/2022 19:24,serta g belas kasihan aniesmaunya aku undang pdhl daftar berpartisipasitapi sayang ngibulnya tahu,20,positif
225,11/14/2022 19:24,pasuk empat kunjung kerja phnom penh menteri koordinator bidang ekonomi airlangga hartarto damping presiden joko widodo ktt asean plus three apt gelar sabtu,14,positif
226,11/14/2022 19:24,ri binance temu forum dialog resmi g komunitas bisnis global tuju bijak ditindaklanjuti rekomendasi masingmasing presiden pacu tumbuh ekonomi bangun,18,positif
227,11/14/2022 19:24,menteri hubung bicara mobil listrik warna ktt g indonesia,2,positif
228,11/14/2022 19:24,peran bri jangkau nasabah segmen mikro ultra mikro nilai jay salah kunci utama tingkat inklusi uang,3,positif
229,11/14/2022 19:23,ken kartu perdana lirik telekomunikasi g,3,positif
230,11/14/2022 19:23,inklusi uang salah isu prioritas bahas sesi diskusi peran bumn luas uang inklusif trade investment industry working group tiiwg road to g soe international conference bal,-4,negatif
231,11/14/2022 19:23,g bal,0,netral
232,11/14/2022 19:23,profesor harvard ajah apresiasi apresiasi bri,0,netral
233,11/14/2022 19:23,lampir bulletin edisi senin nov baharu informasi putar taut terima kasih,8,positif
234,11/14/2022 19:23,acara g bikin sakit kepala ah,-5,negatif
235,11/14/2022 19:23,ken kartu perdana lirik telekomunikasi g,3,positif
236,11/14/2022 19:23,g nusa bal,0,netral
237,11/14/2022 19:23,polisi indonesia dukung sukses aman operasi puri agung ktt g dukung kttg,12,positif
238,11/14/2022 19:23,jelang ktt g menko luhut resmi plts apung milik pln nusa bal com,6,positif
239,11/14/2022 19:23,parah banget iya bang bang ipm indonesia peringkat negara g benny harman segitu buruk kah indonesia,-12,negatif
240,11/14/2022 19:23,joe biden xi jinping bal hadir ktt g bal,2,positif
241,11/14/2022 19:22,idha isi acara samping g bilang hebat ealah drun drun jokowi presiden g drunnnnn,-2,negatif
242,11/14/2022 19:22,ktt g bal luhut sambut xi jinping presiden uea,3,positif
243,11/14/2022 19:22,emang telekomunikasi dukung g yah,4,positif
244,11/14/2022 19:22,bahas kemarin penasaran salah isu bahas sesi diskusi isu bahas peran bumn luas uang inklusif terang bawah,3,positif
245,11/14/2022 19:22,g cie cie panitia sambut kale,6,positif
246,11/14/2022 19:22,konfrensi ktt g balidihadiri duta presiden negara presiden uea presiden cina presiden americahanya sambut tri presiden republik cebong mana yaapa takut ajak bicara bahasa inggris,1,positif
247,11/14/2022 19:22,tokoh masyarakat kabupaten serdang bedagai h kisay dalimunthe dukung laksana ktt g bal tingkat ekonomi serap tenaga kerja doa wujud temu puncak ktt g bal,15,positif
248,11/14/2022 19:22,presiden jokowi dadak unjung media center konferensi tingkat ktt g bal tinjau hari jelang laksana ktt g,9,positif
249,11/14/2022 19:22,emang telekomunikasi dukung g yah,4,positif
250,11/14/2022 19:22,ratus calang aman ktt g gelar bal tugas adat bal tempat titik aman jalan tutup,-7,negatif
251,11/14/2022 19:22,g bal sektor teknologi,0,netral
252,11/14/2022 19:22,video joe biden xi jinping jabat tangan ktt g bal,-2,negatif
253,11/14/2022 19:22,g beli ticket konser guns rosesapakah aku undang guns roses,6,positif
